Client,QBTime_Jobcodes_Mapped,Rate,Rate_Source,Billable_Raw_HMM,Billable_Raw_Hrs,Rounded_Hrs,Amount,Excluded_NonBillable_HMM,Yes,No,Blank,Category,Flags
"SONNY BROOKE STABLES","SONNY BROOKE STABLES",125.00,firm default,1:49,1.82,2.00,250.00,0:00,3,0,0,WILL INVOICE,
"Southern Belles Closet","Southern Belles Closet",125.00,firm default,1:06,1.10,1.25,156.25,0:00,2,0,0,WILL INVOICE,
"Splatter LLC","Splatter LLC",125.00,firm default,1:07,1.12,1.25,156.25,0:00,3,0,0,WILL INVOICE,
"Springdale Title","Springdale Title",125.00,firm default,23:33,23.55,23.75,2968.75,0:00,26,0,0,WILL INVOICE,
"Sunago Coffee Co","Sunago Coffee Co",125.00,firm default,0:06,0.10,0.25,31.25,0:15,1,1,0,WILL INVOICE,has-excluded-entry
"TEAGUES LLC","TEAGUES LLC",125.00,firm default,1:36,1.60,1.75,218.75,0:00,5,0,0,WILL INVOICE,
"The Gravity House","The Gravity House",125.00,firm default,1:28,1.47,1.50,187.50,0:00,1,0,0,WILL INVOICE,
"The Law Firm of Nicole S Klapka, PA","The Law Firm of Nicole S Klapka, PA",125.00,firm default,4:40,4.67,4.75,593.75,0:00,3,0,0,WILL INVOICE,
"United Branding Supply","United Branding Supply",125.00,firm default,1:29,1.48,1.50,187.50,0:00,7,0,0,WILL INVOICE,
"United Way of Anderson County","United Way of Anderson County",75.00,override,20:44,20.74,20.75,1556.25,0:00,30,0,0,WILL INVOICE,
"View Point Media","View Point Media",125.00,firm default,7:36,7.60,7.75,968.75,0:00,14,0,0,WILL INVOICE,
"Volunteer Plumbing, LLC","Volunteer Plumbing, LLC",125.00,firm default,3:15,3.25,3.25,406.25,0:00,10,0,0,WILL INVOICE,
"Weekend RV Center","Weekend RV Center",125.00,firm default,2:03,2.05,2.25,281.25,0:00,7,0,0,WILL INVOICE,
"Westwood Healthcare Solutions, LLC","Westwood Healthcare Solutions, LLC",125.00,firm default,0:13,0.22,0.25,31.25,0:00,1,0,0,WILL INVOICE,
"Anderson County Chamber of Commerce_1756219116664","Anderson County Chamber of Commerce_1756219116664",125.00,firm default,0:00,0.00,0.00,0.00,2:10,0,4,1,zero-billable (no invoice),
"CMG Solutions","CMG Solutions",125.00,firm default,0:00,0.00,0.00,0.00,3:15,0,3,0,zero-billable (no invoice),
"Donut Palace Oak Ridge","Donut Palace Oak Ridge",125.00,firm default,0:00,0.00,0.00,0.00,1:56,0,3,0,zero-billable (no invoice),
"East Tennessee Veterans Honor Guard","East Tennessee Veterans Honor Guard",125.00,firm default,0:00,0.00,0.00,0.00,3:03,0,1,1,zero-billable (no invoice),
"IT 4 The Planet, LLC","IT 4 The Planet, LLC",125.00,firm default,0:00,0.00,0.00,0.00,5:29,0,3,8,zero-billable (no invoice),
"James Whites Fort","James Whites Fort | James Whites Fort-Payroll Only",125.00,firm default,0:00,0.00,0.00,0.00,3:37,0,10,1,zero-billable (no invoice),merged-mapping
"Kennedy Dentistry","Kennedy Dentistry",125.00,firm default,0:00,0.00,0.00,0.00,13:43,0,4,5,zero-billable (no invoice),
"Native Plant Rescue Squad","Native Plant Rescue-Payroll Only",125.00,firm default,0:00,0.00,0.00,0.00,0:17,0,0,1,zero-billable (no invoice),
"New China Palace","New China Palace Payroll Returns | New China Palace Sale Taxes",125.00,firm default,0:00,0.00,0.00,0.00,4:44,0,5,0,zero-billable (no invoice),merged-mapping
"Oak Ridge Corridor Development Corporation","Oak Ridge Corridor Development Corporation",125.00,firm default,0:00,0.00,0.00,0.00,1:54,0,3,0,zero-billable (no invoice),
"Oak Ridge Mufflers","OakRidge Mufflers Sale Taxes",125.00,firm default,0:00,0.00,0.00,0.00,0:30,0,1,0,zero-billable (no invoice),
"Signed Cricket","Signed Cricket",125.00,firm default,0:00,0.00,0.00,0.00,1:13,0,1,0,zero-billable (no invoice),
"The Anderson County Chamber Foundation, Inc.","The Anderson County Chamber Foundation, Inc.",125.00,firm default,0:00,0.00,0.00,0.00,4:18,0,10,2,zero-billable (no invoice),
"Thomas-Hendrickson Inc","Thomas-Hendrickson Inc",125.00,firm default,0:00,0.00,0.00,0.00,2:39,0,7,0,zero-billable (no invoice),
"Turner Recruiting & Consulting","Turner Recruiting Payroll Returns",125.00,firm default,0:00,0.00,0.00,0.00,2:30,0,10,1,zero-billable (no invoice),
"Ultimate Donut","Ultimate Donut",125.00,firm default,0:00,0.00,0.00,0.00,0:13,0,1,0,zero-billable (no invoice),
"Volunteer State Honor Guard","Volunteer State Honor Guard",125.00,firm default,0:00,0.00,0.00,0.00,1:08,0,2,0,zero-billable (no invoice),
"P&L Admin","P&L Admin | P&L Lea Ann's Work | P&L Networking | P&L New Client Consultations | P&L-Tax Returns | Paid Time Off",125.00,firm default,0:20,0.33,0.50,62.50,660:50,1,408,91,INTERNAL,INTERNAL-BILLABLE!! merged-mapping has-excluded-entry
